The Upside of Down|Chris August
忽然之间|莫文蔚
一百万个可能|Christine Welch
暗里着迷 (粤)|刘德华
好嗨哦|陈逗逗
Psycho (Pt. 2)|Russ
残酷月光|林宥嘉
我怀念的|孙燕姿
Crush|Tessa Violet
借我|谢春花
Up&Up (Radio Edit)|Coldplay
梦一场|萧敬腾
Tik Tok|Eliane
PLANET|ラムジ
Love In A Box|The Workday Release
还是觉得你最好|张学友
可能否|木小雅
Missin' You Like Crazy|Us The Duo
Hey Jude|Kina Grannis/Imaginary Future
Better Together|Us The Duo
好嗨哟|芒果食堂
Young And Beautiful - (电影《了不起的盖茨比》插曲)|Lana Del Rey
爱着爱着就永远|田馥甄
小幸运 - (电影《我的少女时代》主题曲)|田馥甄
遇萤（橙光游戏《遇龙》主题曲）|CRITTY
Something Just Like This|Romy Wave/Anthony Keyrouz
说散就散 - (电影《前任3：再见前任》主题曲)|袁娅维
风筝误|刘珂矣
你给我听好|陈奕迅
我想|麦小兜
天若有情 - (电影《天若有情》插曲)|袁凤瑛
我从崖边跌落|谢春花
终于明白 - (电视剧《仙剑奇侠传》片尾曲)|动力火车
参商(纯歌版)|不才
Such a Fool|George Nozuka
大鱼 - (动画电影《大鱼海棠》印象曲)|周深
This I Promise You|Ronan Keating
Here With You|Asher Book
Revolution|The Score
Better Than One|The Score
浪费|林宥嘉
春风十里|鹿先森乐队
What Are Words|Chris Medina
Ce Frumosa E Iubirea|Giulia
你就不要想起我|田馥甄
Beautiful In White (Demo)|Westlife
Can't Stop Love|Darin
情歌 (cover梁静茹)|简弘亦
不染 - (电视剧《香蜜沉沉烬如霜》主题曲)|毛不易
Closer To Me|Megan & Liz
Breathless|Shayne Ward
Say Goodnight|Rico Davis
最佳损友|陈奕迅
Until You|Shayne Ward
Stupid|Tone Damli Aaberge
Road Trippin'|Dan + Shay
下一秒 - (电视剧《微微一笑很倾城》插曲)|张碧晨
Good Day|Lucky Stroke
不找了|郭旭
One Day (Album Version)|Emblem3
Echo|Jason Walker
Everything Falls|Fee
我是真的爱你|李宗盛
恶作剧|王蓝茵
Talk|Kodaline
Chasing The Wind|Josiah James
倔强|五月天
Chasing All the Stars|Fleurie
难念的经 - (1997年TVB版电视剧《天龙八部》片头曲)|周华健
Moving On|Kodaline
You Got It All|The Vamps/Union J
逍遥叹 - (《仙剑奇侠传》 插曲)|胡歌
孤单心事 - (《终极一班》插曲)|蓝又时
思念是一种病|蔡健雅/张震岳
Downhill|Hyland
知足|五月天
红昭愿|音阙诗听
靠近一点点 - (湘琴之《越挫越勇》主题曲)|梁心颐
爱不单行 - (偶像剧《海派甜心》插曲)|罗志祥
Supermarket Flowers|Ed Sheeran
Insecurity|Scars On 45
Innocence|Avril Lavigne
答案|杨坤/郭采洁
Last Prayer|We Shot the Moon
Bila|Candy
Wait For You|Elliott Yamin
积雨云 - (第三十五届政大金旋奖主题曲 / Rain Clouds)|郑兴
Prettiest Friend (Demo)|Jason Mraz
Better in Time|Leona Lewis
Where Did You Go|Reagan James
Best Of Me|Daniel Powter
Dealbreaker|Rachael Yamagata
Better With You|Kris Allen
Black Mascara|Eliane
Why We Try|Chelsea Lankes/Matthew Mayfield
Good Morning, Beautiful|Luke McMaster
Snow Globe|Matt Wertz
Back At One|Brian McKnight
Wasted|Brandi Carlile
爱与痛的边缘|王菲
Everglow|Gwyneth Paltrow/Coldplay
Halo|Lotte Kestner
佛系少女|冯提莫
喜欢|阿肆
还是会 - (偶像剧《我可能不会爱你》片头曲)|韦礼安
Photograph|Ed Sheeran
我在那一角落患过伤风 - (步步高音乐手机广告曲)|冯曦妤
白羊|徐秉龙/沈以诚
沙龙|陈奕迅
不仅仅是喜欢|萧全/孙语赛
Been A Long Day|Rosi Golan
Lost & Far From Home|Katie Costello
Seven Days|Mark Medlock
冷雨夜|Beyond
一路上有你|张学友
男孩|梁博/陶孟童/肖和东/高誉容
离人愁|李袁杰
摩天大楼|薛之谦
Remember The Name|Styles of Beyond/Fort Minor
平凡之路(电影版)|朴树
My Prayer|Devotion
Inside Her Eyes|Lauren Strahm
梦伴|李悦君Ericaceae
起风了|买辣椒也用券
最美的期待|周笔畅
Skinny Love|Birdy
Volcano|Emily Hearn
Free To Be Me|Haroula Rose
哭砂|张惠妹
Jailbreak|AWOLNATION
Part of a Fool|Juwita Suwito
Cruisin|Sioen
Spell|Marié Digby
4th Of July|Joanna
When You're Gone (Acoustic Version)|Avril Lavigne
Alone Again|Alyssa Reid
You Are Not Alone|Frida Amundsen
逆光|孙燕姿
说谎|林宥嘉
温柔|五月天
Can't Complain|Relient K
Down|Jason Walker
Lucky|Lenka
Way Back Into Love (Demo)|Hugh Grant/Drew Barrymore
胆小鬼|梁咏琪
Sunrise|Shannon Hurley
Oh Father|Bodhi Jones
不爱我|陈僖仪
With You All The Time|Gareth Gates
外面的世界|莫文蔚
Thank You - (不插电版)|Dido
全世界谁倾听你  - (电影《从你的全世界路过》插曲)|林宥嘉
阴天快乐|陈奕迅
Sleepyhead (Midnight Version)|Galen Crew/Midnight
不将就 - (电影《何以笙箫默》片尾主题曲)|李荣浩
阴天|莫文蔚
蜚蜚|陈僖仪
Sleep Must Heal the Heart|Molly Marlette
We Can't Stop|Bea Miller/Boyce Avenue
Try - (《名扬四海》插曲)|Asher Monroe
化身孤岛的鲸|不才
失恋|草蜢
The Show|Lenka
献世|陈小春
Angel - (《天使之城》插曲)|Sarah McLachlan
Flightless Bird, American Mouth - (《暮光之城》插曲)|Iron & Wine
This Time Tomorrow|Trent Dabbs
贝加尔湖畔|李健
成都|赵雷
Shutterbug|Glenna
Falling Awake - Original|Gary Jules
Sunny Day|Joy Williams
七月上|Jam
Up All Night|Best Coast
Oceanside|Lainey Lou
Leave The Light On|Priscilla Ahn
The Heart of Life|John Mayer
心碎(粤)|易欣
第十一年|语奕儿
你的样子|林志炫
I Need a Love|Lainey Wright
Going Home (Album Version)|Sophie Zelmani
爱得太迟|古巨基
Always Will Be|Raining and OK
追光者 - (电视剧《夏至未至》插曲)|岑宁儿
We Are Young|Janelle Monáe/Fun.
叶子|阿桑
Amani|Beyond
无赖|郑中基
失恋阵线联盟|草蜢
阁楼|陈慧琳
倩女幽魂 - (电影《倩女幽魂》主题曲)|张国荣
风继续吹|张国荣
一生所爱 (One Take Raw Demo)|卢冠廷
Counting Stars|Kurt Hugo Schneider/Chrissy Costanza/Alex Goot
Baby It's You|Arden Cho
Light of the World|Starfield
It's So Easy (1977)|Linda Ronstadt
Cocoon|Jack Johnson
Pack Up Your Troubles in Your Old Kit Bag|Minnutes
I Just Wanna Run|Kait Weston
Glad You Came|Boyce Avenue
Blue Tattoo|Leddra Chapman
We're Good People But Why Don't We Show It?|Holly Throsby
When You Say Nothing at All - (电影《新娘百分百》插曲)|Ronan Keating
When You Say Nothing At All|Alison Krauss
The Hardest Thing|Julia Sheer
Promises Don't Come Easy - (无线电视剧《无业楼民》插曲)|Caron Nightingale
如果的事|张韶涵/范玮琪
In Between The Lines|Tyrone Wells
Traveling Light|Joel Hanson
I Am You|Kim Taylor
I Love You|Stewart Mac
Let It Out|Frances
We Don't Talk Anymore|Selena Gomez/Charlie Puth
美|王力宏
Drive|Oh Wonder
Tennis Elbow|Sky Sailing
Please Don't Go|Joel Adams
Stronger|Kelly Clarkson
Because of You|Kelly Clarkson
One Love|Blue
Fairy Tale|Toni Braxton
Hero|Mariah Carey
悟空|戴荃
I'm Sorry|Monta
Journey|张韶涵
Say Hello|Sufjan Stevens/Rosie Thomas
Stuck On You|Meiko
How To Break A Heart|Julian Moon
John Ryan's Polka|Ballycastle
Blind Tom|Grant-Lee Phillips
Jambalaya|Carpenters
Rhythm Of The Rain|Jason Donovan
More Than I Can Say|Leo Sayer
Rhythm Of The Rain|Cascades
Sailing|Rod Stewart
Angel|Jack Johnson
My My Love|Joshua Radin
Loving Strangers|Russian Red/Jocelyn Pook
历历万乡（Cover 陈粒）|孟大宝
可乐|赵紫骅
Open Up Your Heart And Let The Sun Shine In|Frente!
Dream It Possible|Delacey
In My Sleep|Austin Hartley-Leonard
Battles and Wastelands|Neo Retros
I'm Not OK|Trent Dabbs
其实，我就在你方圆几里（Cover 薛之谦）|陈壹千
Free Loop|Daniel Powter
Miss You Tonight|茶小姐和熊先生
1973|James Blunt
Too Far|Anna F
1965|Zella Day
Reality - (电影《第一次接触》插曲)|Richard Sanderson
Closer|Travis
被驯服的象|蔡健雅
Nothing's Gonna Change My Love for You|George Benson
Cups (Pitch Perfect’s “When I’m Gone”) (Pop Version)|Anna Kendrick
叶子 - (电视剧《蔷薇之恋》片尾曲)|阿桑
It's Obvious|Emma Stevens
She|Groove Coverage
My Love|Lenka
Wonderful U (Demo Version)|AGA
Good Morning and Good Night|Maggie McClure
We Are Powerful|Lenka
Run, Run, Run...|Emme Packer
告白气球 - (原唱：周杰伦)|二珂
莫失莫忘|麦振鸿
我是真的爱上你|王杰
最初的温柔 - (电视剧《两生花》女声插曲)|赵乃吉
那又如何|应嘉俐
Illuminate|The Hunts
三寸天堂 - (电视剧《步步惊心》片尾曲)|严艺丹
忆似故人曲|兔裹煎蛋卷
心的距离|陈奕迅
Your Firefly (Georgia Power and Toyota Advert)|Ben Cocks
Trip|Axero
Duet|Rachael Yamagata
Then Silence|Kjartan Salvesen
我很快乐|刘惜君
相思 - (电视剧《西游记后传》片尾曲)|毛阿敏
I'm Yours|Jason Mraz
这样爱了 - (电视剧《轩辕剑之天之痕》片尾曲)|张婧
爱|莫文蔚
其实我还好|俞灏明
下一个人间|何伊冉
全世界只想你来爱我|张国荣
風の住む街 - (风居住的街道)|磯村由纪子
身骑白马|徐佳莹
Love Me Like You Do|Boyce Avenue
Creep|Damien Rice
Love Me Like You Do - (电影《五十度灰》主题曲)|Ellie Goulding
那么骄傲（Cover 金海心）|徐薇/周玥
遗憾|许美静
For Paolo|Woodpigeon
山外小楼夜听雨|任然
咖啡|张学友
“千と千寻の神隠し”~いつも何度でも|木村弓
眉间雪|HITA
讲不出再见|谭咏麟
你的名字 我的姓氏|张学友
相思风雨中 - (电视剧《出位江湖》插曲)|张学友/汤宝如
The Long Way Home|Lenka
Rolling In The Deep|Adele
The Lazy Song|Bruno Mars
Call Me Maybe|Carly Rae Jepsen
Problem|Ariana Grande/Iggy Azalea
Somebody That I Used To Know|Gotye/Kimbra
IF You & Faded Remix（Cover BIGBANG & Alan Walker）|陈壹千
The Garden That You Planted|Sea Wolf
Luv Letter|DJ Okawari
いつも何度でも - (永远同在)|宗次郎
I Do|Colbie Caillat
Bigcitydreams|Never Shout Never
High|Tiffany Houghton
Art of Moving On|Heffron Drive
I Do|911
7 Years|Josh Evans/Madilyn Bailey
Say It Again|Frances
It's So Easy|Linda Ronstadt
Flow|Brittany Underwood
Love Yourself (Natio Remix)|Natio/Conor Maynard/Justin Bieber
Raindrops|Eliane
I Shall Not Want|Audrey Assad
If I Die Young|The Band Perry
Here I Am - Live - Bare Bones / Anderson Hall in Binghamton, NY 14.6.2010|Bryan Adams
Yesterday|Leona Lewis
Lemon Tree - (柠檬树)|Fool's Garden
When You Believe|Whitney Houston/Mariah Carey
Stay Here Forever|Jewel
Bye Bye Bye|Lovestoned
Yours|Russell Dickerson
Pillow talk|Auryn
执迷|许多葵
Faded (Conor Maynard Cover)|Anth/Conor Maynard
Chain Hang Low|Jibbs
Heartbreak|Ry Cuming
Singer of My Song|Emma Stevens
Holy Captivated|Nicole C. Mullen
Coming Home|Diddy-Dirty Money/Skylar Grey
I Remember|MOCCA
Unique|Lenka
牵丝戏|西瓜JUN
锦鲤抄|银临/云の泣
Get Together|Lenka
Ça Ira|Joyce Jonathan
Stuck Like Glue|Nick Howard/Lenka
I’m Fine|Emily Hearn
Missing?|Emme Packer
Creep|Daniela Andrade
Morning Light|The Hunts
Near or Far|Carissa Rae
All Of Me/Say Something|Lily Me/Shaun Reynolds
一生所爱 - (电影《西游记大结局之仙履奇缘》插曲)|卢冠廷
I Could Be the One|Donna Lewis
Vincent|Charlie Landsborough
她说|林俊杰
Dark Paradise|Lana Del Rey
Little Do You Know|Alex & Sierra
当你|林俊杰
The Flood|Joshua Hyslop
Fuerteventura|Russian Red
理想三旬|陈鸿宇
Papa Was a Rodeo|Sara Lov
That's Why You Go Away|Michael Learns To Rock
Breath and Life|Audio Machine
Communication|The Cardigans
怎样|戴佩妮
you belong to me|Carla Bruni
Imagine Me Without You|Jaci Velasquez
Five Hundred Miles - (500英里)|Justin Timberlake/Carey Mulligan/Stark Sands
Glad You Came|The Wanted
Without You|Blue
Dying In the Sun|The Cranberries
小幸运（Cover 田馥甄）|金玟岐
Shooting Star|Kari Kimmel
Roses and Gold|Robin Jackson
男孩别哭|海龟先生
我还想她|林俊杰
一半|薛之谦
21 Guns|Green Day
方圆几里 - (微电影《最熟悉的陌生人》主题曲)|薛之谦
我的天空|南征北战NZBZ
Way Back Into Love - (《K歌情人》插曲)|Hugh Grant/Haley Bennett
Imagine|John Lennon
I Just Wanna Run|The Downtown Fiction
默 - (电影《何以笙箫默》主题插曲)|那英
遇到 - (湘琴与直树之《邂逅》主题)|方雅贤
Concerning Hobbits - (《指环王1》配乐)|Howard Shore
Sound of Silence|Paul Simon
Summertrain|Greyson Chance
可以了|陈奕迅
几个你 - (电视剧《胜女的代价》插曲)|薛之谦
原谅 - (《ひとつぶの涙》翻唱版)|张玉华
Masked Heroes|Vexento
Fade|Alan Walker
丑八怪|薛之谦
Sleepyhead|Galen Crew
Me and My Broken Heart|Rixton
房间|刘瑞琦
Long Hot Summer|Keith Urban
Riverside|Agnes Obel
Crazy Bird|Wild Child
演员|薛之谦
Die Young|Kesha
Brave Song - (TV动画《天使的心跳》ED1 / TVアニメ「Angel Beats!」ED1テーマ)|多田葵
Can’t Stop Falling|Laurell
Home|Michael Bublé
Tonight I Wanna Cry|Keith Urban
Long Lost Penpal|Hello Saferide
Take a bow|Rihanna
Leave Out All The Rest (Single Version)|Linkin Park
Never Say Never|The Fray
多远都要在一起|G.E.M.邓紫棋
天梯(Live) - live|张智霖
Girl Crush|Little Big Town
House Party|Sam Hunt
Taylor Swift Mash-Up|Anthem Lights
7 Years|Lukas Graham
Look At Me - (《比利的早年生涯》电影最热插曲)|Alan Jackson
Oceans Deep|Sons Of Day
Last Train|Dawn Golden
Say Something|A Great Big World
Better Than A Hallelujah|Amy Grant
Habits (Feat. Mads Langer)|Maria Mena
Teenage Dream (Acoustic Version)|Glee Cast
Demons (Acoustic)|Imagine Dragons
All We Do |Oh Wonder
High Hopes|Kodaline
This Is Living (Acoustic)|Hillsong Young And Free
It Is Well (Live)|Kristene DiMarco/Bethel Music
Already Gone|Sleeping at Last
Can’t Help Falling in Love|Haley Reinhart
Breathe Me|Sia
Paper Hearts|Tori Kelly
Nothing Really Matters|Mr. Probz
Caravan|Paper Aeroplanes
A Little Bit|Sofi de la Torre
Light A Fire|Rachel Taylor
Beautiful|Virginia To Vegas
You Speak|Audrey Assad
Lost Stars|Keira Knightley
Be Good Or Be Gone|Fionn Regan
The Last Goodbye - (《霍比特人3：五军之战》插曲)|Billy Boyd
Holy (The Empty Room Sessions)|PVRIS
Take My Hand|April Lockhart
Officially Missing You|Tamia
坐在巷口的那对男女|自然卷
The Scientist|Coldplay
Fix You|Coldplay
7 Years |Lukas Graham
Beside You|Phildel
I See Fire|Ed Sheeran
White Blood|Oh Wonder
Dreaming Alone|TAKA/Against the Current
So:Lo|Kate Havnevik
All Out of Love (Single)|Sara Lov
Can't Stand The Rain|The Rescues
Bicycle Tricycle|Rosie Thomas
Fooling Myself|Leddra Chapman
Jocelin|Leddra Chapman
Whistle|Glee Cast
Echoes of the Rainbow - (电影《岁月神偷》歌曲)|李治廷
岁月轻狂 - (电影《岁月神偷》歌曲)|李治廷
Count on Me|Connie Talbot
Je M' appelle Helene - (伊莲)|Hélène Rolles
Careless Whisper|George Michael
More Than I Can Say|Leo Sayer
Some Dreams|Allan Taylor
Burn|Angelika Vee
红颜旧 - (电视剧《琅琊榜》插曲)|刘涛
Kiss From A Rose|Seal
Show Me Love (Guy Sigsworth Album Version)|Kate Havnevik
5 Years Time|Noah and the Whale
Don't Worry Be Happy|Bobby McFerrin
Unintended|Muse
Killing You|BROODS
鱼|陈绮贞
Girls Chase Boys|Ingrid Michaelson
Lucky (Re-Mastered Version)|Colbie Caillat/Jason Mraz
Mr.Curiosity (Album Version)|Jason Mraz
Living In The Moment|Jason Mraz
一个人生活 - (电视剧《天地传说之鱼美人》主题曲)|林凡
年轮 - (电视剧《花千骨》插曲)|张碧晨
不再见 - (电影《小时代3：刺金时代》插曲)|陈学冬
Love The Way You Lie - Part III (Original Demo)|Skylar Grey
光辉岁月|Beyond
月半小夜曲|李克勤
红玫瑰(国)|陈奕迅
三人游|方大同
Won't Go Home Without You|Maroon 5
好久不见|陈奕迅
Bubbly|Colbie Caillat
New Soul|Vox Angeli
Thinking Out Loud (Jasmine Thompson Cover)|Axero/Jasmine Thompson/Ed Sheeran
可惜没如果 - (If Only…)|林俊杰
A Thousand Years|Jasmine Thompson
Trouble Is A Friend|Lenka
Seasons in the Sun|Westlife
Whataya Want from Me|Adam Lambert
淘汰|陈奕迅
A Place Called You|Emma Stevens
后会无期 - (OT: The End of the World)|G.E.M.邓紫棋
Almost Lover|Jasmine Thompson
Let Her Go|Jasmine Thompson
怎么说我不爱你|萧敬腾
Just Give Me A Reason|Nate Ruess/P!nk
Gotta Have You|The Weepies
烟火|光良
Cry On My Shoulder|Various Artists/Deutschland sucht den Superstar
What Makes You Beautiful|One Direction
All of Me|John Legend
夜空中最亮的星|逃跑计划
Summer Vibe|Walk off the Earth
岁月神偷|金玟岐
Need You Now|Lady Antebellum
雪 - (第三季插曲)|王艺翔/杜婧荧
Take Me To Your Heart|Michael Learns To Rock
The Saltwater Room|Breanne Düren/Owl City
Better Man|Robbie Williams
Nothing's Gonna Change My Love For You|Westlife
平凡之路 - (电影《后会无期》主题曲)|朴树
Beautiful In White (Demo)|Shane Filan
Best of 2012: Payphone/Call Me Maybe/Wide Awake/Starship/We Are Young|Anthem Lights
Demons|Imagine Dragons
Walk Away - Album Version|Dia Frampton
Valder Fields|Tamas Wells
只想一生跟你走|张学友
Secrets|OneRepublic
Someone Like You|Adele
其实都没有|杨宗纬
一次就好 - (电影《夏洛特烦恼》暖水曲)|杨宗纬
Hello|Adele
陪你度过漫长岁月 - (电影《陪安东尼度过漫长岁月》主题曲)|陈奕迅
Everybody|Ingrid Michaelson
Counting Stars|OneRepublic
What Are Words|Chris Medina
Sugar|Maroon 5
走在冷风中 - (Walking In The Cold)|刘思涵
Let Her Go|Passenger
Just the Way You Are|Bruno Mars
Almost Lover - (电影《命中注定》插曲)|A Fine Frenzy
Thinking Out Loud|Ed Sheeran
Yellow|Coldplay
See You Again - (有缘再见)|Wiz Khalifa/Charlie Puth
Apologize|OneRepublic
Try|Colbie Caillat
Liekkas|Sofia Jannok
